classificacao,comentario
normal,"Irmão, 1000 acertos nenhum elogio, 01 erro, 1000 condenações...infelizmente é assim"
normal,Esperar o que de um cara que apoiou o Bozo e casou com uma loira kkkkkkkkkkkk
normal,Karaka Thiago virei Fã
normal,"Parabéns Thiago,  você falou tuso quê os bolsonaristas amam ver um Negro falando !<br />Mas uma vez você não se posiciona a respeito do movimento Negro ."
racista,Isso mesmo. Esses pretos só servem pra se vitimizar mesmo. Cuidar do cabelo nãp querem kk.
normal,"Boa Tiago. Fiquei seu fã a partir de agora!<br />Não sou de utilizar as redes sociais, acho que dá muito trabalho filtrar tanta bobagem e não tenho tempo para perder...mas esse está em uma rede social profissional...TOP Parabéns!!!!"
normal,Parabéns Thiago vc disse tudo.
normal,Achava vc muito bom até ver esse vídeo. Lamentável
normal,"Não gostei dessa resposta. Ajude quem vc quiser, mas saiba que nem todos as pessoas tem as mesmas habilidades que vc possui e por isso pessoas precisam de ajuda. <br />Na maioria das vezes quem recebe mais ajuda ? Vc saberia me dizer?<br />(Somente minha opinião. Meus sinceros boa sorte!)"
normal,"Se uma pessoa de pele branca fala isso, vira um monstro e racista!!! Adorei escutar tudo isso da boca de um negro que tem moral e conhecimento de causa que não se vitimiza e muito menos se faz de coitado! 👏👏👏👏👏"
